,StockCode,Brand,Unit Price,Category
92,22857,Teeblox,32.44,Clothing
93,23206,Casual Nights,23.99,Clothing
94,79321,Envelopes.com,55.23,Office
95,22609,Christopher Radko,88.25,Party
96,47559b,DJI,6.99,Electronics
97,22526,Style and Apply,29.95,Home
98,23007,AARCO,289.58,Office
100,22196,Envelopes.com,421.95,Office
101,22624,Duda Energy,33.2,Home
102,22352,allwitty,14.99,Clothing
104,22966,New Way,25.29,Household
105,22989,Mightyskins,9.99,Electronics
106,21080,MusicBoxAttic,215.99,Home
107,22277,Envelopes.com,162.95,Party
108,22085,Breaktime,1171.91,Food
109,22207,Medi,62.38,Health
110,23546,DJI,14.99,Electronics
111,23298,Ekena Milwork,80.66,Home
112,22437,Ribbon Bazaar,15.43,Party
113,22697,MusicBoxAttic,260.99,Home
114,23182,Medi,62.38,Health
115,23351,Medi,49.58,Health
116,22620,Eye Buy Express,40.99,Health
117,23120,BDK,35.5,Auto
118,21871,Schwarzkopf,9.97,Beauty
120,21428,Duda Energy,9.45,Home
121,21791,Eddie Bauer,30.0,Clothing
122,22725,Urbane,21.49,Clothing
123,21915,True City Life,11.99,Clothing
125,23014,UNOTUX,51.99,Clothing
126,22991,Mightyskins,7.99,Electronics
127,21936,Eye Buy Express,29.99,Health
128,85086A,Eye Buy Express,29.99,Health
129,22579,Mightyskins,23.99,Electronics
130,23235,Envelopes.com,55.95,Party
131,22499,Dr. Comfort,139.0,Clothing
132,21524,Hawaii Pharm LLC,19.95,Health
133,21773,Medi,110.38,Health
134,21658,Envelopes.com,64.95,Party
135,85123A,Medi,49.58,Health
136,16258A,Style and Apply,19.95,Home
137,22173,Mightyskins,19.99,Electronics
138,48194,Prop?t,76.95,Clothing
139,22502,CafePress,49.99,Clothing
140,22086,August Grove,101.99,Baby
141,21128,Pompeii3,767.67,Jewelry
142,22554,Eye Buy Express,24.99,Health
143,21231,Eye Buy Express,19.99,Health
144,44089C,MusicBoxAttic,215.99,Home
145,22327,Business Essentials,23.34,Office
146,21874,Envelopes.com,21.9,Party
147,20677,eFavormart,3.3,Party
148,21708,Mightyskins,6.99,Cell
149,23012,Bare Nature,29.95,Food
150,23297,Style & Apply,29.95,Home
151,23083,Unik Occasions,33.98,Food
152,23192,Business Essentials,9.52,Office
153,23036,MusicBoxAttic,38.99,Office
154,23581,Winston Porter,59.99,Home
156,22042,Eye Buy Express,40.99,Health
158,84917,Mightyskins,19.99,Electronics
159,22745,Eye Buy Express,32.99,Health
160,84970S,Duda Energy,11.4,Home
161,22766,Duda Energy,7.15,Home
162,21068,RAM Game Room,45.95,Cell
163,22329,Envelopes.com,21.9,Party
164,21328,MusicBoxAttic,38.99,Office
165,20726,Eye Buy Express,30.99,Health
166,22815,Jackson Ultima,749.95,Clothing
167,21189,Ekena Millwork,80.66,Home
168,22587,Eye Buy Express,22.99,Health
169,84536A,Tom Ford,63.2,Beauty
170,23230,ONLINE,396.9,Health
171,23204,Nostalgic Warehouse,190.0,Home
172,84032B,Mightyskins,14.99,Electronics
173,22570,Style and Apply,39.95,Home
174,22847,HP,1014.0,Electronics
175,23294,Eye Buy Express,43.99,Health
176,85203,Mightyskins,9.99,Electronics
177,23208,Edwards,31.33,Clothing
178,23551,Style and Apply,29.95,Home
179,82494L,AARCO,512.92,Office
180,22504,Eye Buy Express,23.99,Health
181,20893,Mightyskins,50.64,Electronics
182,21257,MusicBoxAttic,78.99,Office
183,22607,StylesILove,19.79,Clothing
184,21844,Style and Apply,59.99,Home
185,23080,Q.M.I.,2.58,Home
186,23503,August Grove,101.99,Baby
187,23302,Eddie Bauer,35.0,Clothing
188,85199S,City Shirts,20.9,Clothing
189,21307,Mightyskins,12.99,Electronics
190,23173,Toystate,32.95,Toys
191,22464,MusicBoxAttic,83.99,Office
192,23349,Edwards,30.85,Clothing
193,20723,MusicBoxAttic,240.99,Jewelry
194,37333,Mightyskins,23.99,Electronics
195,47503A,WorldJewels,578.73,Jewelry
196,22133,Jackson Ultima,749.95,Clothing
197,84596B,PlushDeluxe,30.55,Auto
198,23293,Style and Apply,19.95,Home
199,22568,Darby Home Co,268.64,Office
200,21967,Mightyskins,23.99,Electronics
201,22549,Dr. Comfort,139.0,Clothing
203,22095,Galaxy by Harvic,11.97,Clothing
204,17012F,Eye Buy Express,37.99,Health
205,47566B,Duda Energy,47.3,Home
206,22212,Expression Tees,23.99,Clothing
207,22467,Mightyskins,6.99,Cell
208,22138,Port Authority,49.58,Clothing
209,22619,Envelopes.com,141.33,Office
210,22935,Ames Walker,46.99,Clothing
211,21071,Tush Cush,54.41,Sports
212,22891,Hawaii Pharm,149.95,Health
213,22621,PMU,35.91,Party
214,21212,Ekena Milwork,135.59,Home
215,21034,Mightyskins,17.99,Electronics
216,22818,Eye Buy Express,32.99,Health
217,22118,Style and Apply,59.95,Home
218,84509A,Mediven,62.38,Health
219,23148,Envelopes.com,113.94,Party
220,16238,Buckle-Down,29.99,Pets
221,90161A,Pull-Ups,8.97,Baby
223,22223,Mightyskins,23.99,Electronics
224,21930,AARCO,665.2,Office
225,22423,MusicBoxAttic,215.99,Home
226,23392,Mightyskins,8.99,Electronics
227,84796a,Envelopes.com,187.94,Party
228,21329,Ekena Milwork,81.36,Home
230,21154,Rubie's,41.13,Party
231,23301,Edwards,37.36,Clothing
232,22623,Mirage Pet Products,19.98,Pets
233,21749,Eddie Bauer,30.0,Clothing
234,21671,Medi,110.38,Health
235,23328,Instant Message,19.99,Clothing
236,22197,Mightyskins,23.99,Electronics
237,84968C,Mightyskins,23.99,Electronics
238,23052,Seat Belt Extender Pros,13.89,Auto
240,21452,Touch Up Express,79.99,Auto
241,22722,Port & Company,19.14,Clothing
242,23469,Mightyskins,23.99,Electronics
243,47590A,Ishow Hair,224.18,Beauty
244,82582,Ekena Milwork,276.25,Home
245,85179C,Envelopes.com,13.34,Party
246,21377,Mightyskins,9.99,Home
247,22055,HMK,209.95,Auto
249,22728,Urbane,21.49,Clothing
250,22082,Eye Buy Express,34.99,Health
251,22837,Holloway,7.13,Clothing
252,23166,Owlpack,4.99,Office
253,21981,Elegant Comfort,15.99,Home
254,22029,Port & Company,13.61,Clothing
255,21990,MusicBoxAttic,240.99,Jewelry
256,48184,Eye Buy Express,40.99,Health
257,22726,Style and Apply,89.99,Home
258,23147,Country Brook Design,8.95,Pets
259,23350,generic,59.98,Electronics
260,23167,KATARINA,345.0,Jewelry
261,15056N,PeanutsÃƒâ€šÃ‚,9999.99,Home
263,23176,Mightyskins,9.99,Video
264,21790,Edwards,34.11,Clothing
265,23231,Envelopes.com,29.95,Party
266,22422,Ishow Hair,124.2,Beauty
267,22216,Mightyskins,23.99,Electronics
268,21561,Mightyskins,8.99,Video
269,22746,Medi,87.98,Health
270,23322,Ghent,239.03,Office
271,23065,OPI,8.99,Premium
272,20711,Mightyskins,9.99,Electronics
274,23089,Electriduct,8.99,Auto
275,22856,Eye Buy Express,28.99,Health
276,84926F,Eye Buy Express,25.99,Health
277,21539,SA106,12.95,Health
278,21977,Style & Apply,49.95,Home
279,22581,Mightyskins,9.99,Electronics
280,21121,Medi,119.98,Health
281,22170,Eye Buy Express,35.99,Health
282,84997c,CHOSEN SUPPLIES,32.5,Household
284,23365,Mightyskins,23.99,Electronics
285,22135,Medi,36.78,Health
286,23296,Eye Buy Express,19.99,Health
287,48173C,Medi,62.38,Health
288,35970,Mightyskins,9.99,Electronics
289,22971,Eye Buy Express,27.99,Health
290,22998,DJI,24.99,Electronics
291,72586,Seat Belt Extender Pros,15.89,Auto
292,23282,HMK,209.99,Auto
293,85039A,CHOSEN SUPPLIES,32.5,Household
294,22996,Eye Buy Express,31.99,Health
295,22382,Awkward Styles,33.95,Clothing
296,37468,MusicBoxAttic,38.99,Office
297,84509E,Ekena Millwork,198.15,Home
298,22721,MusicBoxAttic,215.99,Home
299,22616,ECR4Kids,221.65,Office
300,21914,Eye Buy Express,26.99,Health
301,16045,ValueBull,22.99,Pets
302,23158,Ekena Milwork,136.66,Home
303,47590B,Mightyskins,29.99,Sports
304,23255,Envelopes.com,113.94,Party
305,47591D,Eye Buy Express,23.99,Health
306,22983,Mightyskins,59.99,Sports
307,22099,Medi,36.78,Health
308,20867,Flexible Magnets,35.99,Office
309,23396,Sony,2596.0,Electronics
310,22446,Port Authority,43.18,Clothing
311,21272,DazzlingRock,1185.9,Jewelry
312,82581,AARCO,629.58,Office
313,84609,Mightyskins,9.99,Home
314,21174,Mightyskins,23.99,Electronics
315,20712,Mightyskins,23.99,Electronics
316,21989,Hawaii Pharm LLC,179.95,Health
317,82483,Ekena Millwork,218.85,Home
318,21696,Ply Gem,115.63,Home
319,22817,CoverGirl,7.94,Beauty
321,22683,Mightyskins,6.99,Cell
322,22070,Colosseum Athletics,22.73,Sports
323,84375,Awkward Styles,27.95,Clothing
324,22381,CafePress,49.99,Clothing
326,21906,European Body Art,18.0,Arts
327,22617,MusicBoxAttic,215.99,Home
328,22247,Mightyskins,9.99,Electronics
329,23506,Mightyskins,17.99,Electronics
330,23127,Style and Apply,39.95,Home
331,22742,Eye Buy Express,29.99,Health
332,22562,Huetron,6.99,Electronics
333,22646,Eye Buy Express,19.99,Health
334,22109,Ekena Millwork,86.6,Home
335,22032,Eddie Bauer,35.0,Clothing
336,22602,Maevn,51.99,Clothing
337,22385,MusicBoxAttic,38.99,Office
338,23174,MusicBoxAttic,83.99,Office
339,21982,Ekena Milwork,106.06,Home
340,21172,Edwards,30.85,Clothing
341,22156,4Legs4Pets by Mahar,51.87,Pets
342,84531B,CREATIVE TEACHING PRESS,6.38,Toys
343,20713,Envelopes.com,73.95,Office
344,22035,CHOSEN SUPPLIES,37.91,Household
345,21012,Medi,87.98,Health
346,23289,Omega Products Corporation,21.99,Home
347,22245,Zoan,164.44,Auto
348,23197,Electriduct,7.99,Auto
349,22960,Augusta Sportswear,14.84,Clothing
350,22867,Envelopes.com,124.05,Office
351,22558,UBesGoo,19.99,Pets
352,21430,Mightyskins,9.99,Electronics
353,35911A,Mightyskins,14.99,Electronics
354,22121,Mightyskins,6.99,Cell
355,20971,Fun Express,23.15,Baby
356,21165,Medi,36.78,Health
357,23113,Mightyskins,5.99,Electronics
358,85130C,MusicBoxAttic,215.99,Home
359,23198,PMU,69.91,Party
360,37489B,Style & Apply,29.95,Home
361,22666,Eye Buy Express,37.99,Health
362,23203,Mightyskins,23.99,Electronics
363,22439,Mightyskins,19.99,Cell
364,20975,Ekena Milwork,43.13,Home
365,84997d,4Legs4Pets by Mahar,64.85,Pets
366,22631,Style and Apply,39.95,Home
367,22663,Eye Buy Express,29.99,Health
368,23172,DJI,24.99,Electronics
369,22739,Eye Buy Express,23.99,Health
370,22310,MusicBoxAttic,215.99,Home
371,23109,Urbane,23.49,Clothing
372,22379,Edwards,37.36,Clothing
373,22328,Eye Buy Express,32.99,Health
374,21181,Mightyskins,9.99,Video
376,21224,DJI,6.99,Electronics
377,22178,KBETHOS,9.99,Sports
378,22142,AARCO,381.2,Office
379,84029E,Ekena Milwork,199.11,Home
380,21754,Anima,9.29,Pets
381,22803,Ekena Millwork,145.42,Home
382,47471,Ekena Milwork,132.56,Home
383,21035,HILASON,82.95,Sports
384,35095A,Mediven,36.78,Health
385,84987,Port & Company,15.16,Clothing
386,22472,Country Brook Design,10.95,Pets
387,22555,Harriton,13.85,Clothing
388,23559,Eye Buy Express,25.99,Health
389,72807C,Urbane,21.49,Clothing
391,23229,Ironwood,680.0,Home
392,22413,StylesILove,19.79,Clothing
393,22441,Port & Company,15.16,Clothing
394,21843,Ekena Milwork,148.37,Home
395,22980,Ekena Milwork,196.81,Home
396,23201,Ekena Millwork,146.53,Home
397,47480,Ishow Hair,211.2,Beauty
398,21931,Carson-Dellosa,6.99,Office
401,85059,Mightyskins,19.99,Electronics
402,22775,Ekena Milwork,224.79,Home
403,17013D,Mightyskins,14.99,Electronics
404,22158,Envelopes.com,11.95,Party
405,21479,Buckle-Down,34.99,Pets
406,21014,Mightyskins,18.99,Electronics
407,22150,Iguana Med,29.99,Clothing
408,23535,Eye Buy Express,23.99,Health
409,22993,CafePress,25.99,Clothing
410,23312,Mediven,36.78,Health
411,22129,Port Authority,12.78,Clothing
412,21060,Eye Buy Express,22.99,Health
414,22110,Mightyskins,8.99,Electronics
415,90214G,Ekena Millwork,182.01,Home
416,22111,Eye Buy Express,19.21,Health
417,23009,Eye Buy Express,26.99,Health
418,22649,CUH,14.99,Party
419,22511,Port & Company,15.16,Clothing
420,23252,Eddie Bauer,30.0,Clothing
421,22860,Eye Buy Express,16.99,Health
422,22424,MusicBoxAttic,38.99,Office
423,22816,Mightyskins,23.99,Electronics
424,35957,Mightyskins,16.99,Home
425,20982,SignFever,21.99,Home
426,22557,Eye Buy Express,24.99,Health
427,22680,OTC,9.36,Party
428,23209,MusicBoxAttic,240.99,Jewelry
429,22585,Mightyskins,9.99,Electronics
430,84509B,Fox Valley Traders,13.99,Home
431,22475,Iguana Med,29.99,Clothing
432,22603,Eye Buy Express,24.99,Health
433,23402,Fruit of the Loom,8.1,Clothing
434,20733,Eye Buy Express,32.99,Health
435,21993,Ekena Milwork,168.03,Home
436,37370,Mightyskins,8.99,Video
437,85232B,Fruit of the Loom,5.46,Clothing
438,22589,Strong Leather Company,19.25,Office
439,21221,Mightyskins,23.99,Electronics
440,23211,Nostalgic Warehouse,190.0,Home
441,23388,MAOTAIZI,10.42,Office
442,84686,Spry,7.55,Personal
443,22961,DazzlingRock,1235.4,Jewelry
444,22795,Mightyskins,6.99,Cell
445,84006,Eye Buy Express,27.99,Health
446,22243,Style and Apply,29.95,Home
447,22492,Eye Buy Express,36.99,Health
448,90032,PMU,6.91,Party
449,35471D,Prop?t,68.05,Clothing
450,23569,Shirtinvaders,41.33,Clothing
451,21289,Port & Company,15.16,Clothing
452,84907,Eye Buy Express,36.99,Health
454,35961,Style & Apply,89.95,Home
455,22794,buckle-down,30.95,Pets
456,84031A,Mightyskins,17.99,Electronics
457,22908,Eye Buy Express,36.99,Health
458,82482,Country Brook Design,8.95,Pets
459,22434,Medi,73.58,Health
460,23571,Mightyskins,9.99,Electronics
461,21090,DJI,12.99,Electronics
462,22622,Port & Company,17.12,Clothing
463,21880,Eddie Bauer,30.0,Clothing
464,21715,Eye Buy Express,19.99,Health
465,21625,Eye Buy Express,27.99,Health
466,22367,MusicBoxAttic,215.99,Home
467,85066,SoCozy,5.99,Beauty
469,84997B,Awkward Styles,23.95,Clothing
470,21500,Mightyskins,12.99,Electronics
471,90093,KATARINA,3425.0,Jewelry
472,22710,Home Comforts,44.99,Home
474,23187,Lindemann Chimney Supply,54.59,Home
475,23373,Eye Buy Express,41.99,Health
476,21175,Inktastic,14.99,Clothing
477,22792,Eye Buy Express,38.99,Health
478,85132A,City Shirts,22.9,Clothing
479,22772,Electriduct,120.7,Auto
480,20707,Darby Home Co,187.64,Office
481,16014,Eddie Bauer,35.0,Clothing
482,22950,Mightyskins,15.99,Electronics
483,22672,Eye Buy Express,30.99,Health
484,22065,Skylinewears,35.99,Clothing
485,22600,Style and Apply,19.95,Home
486,22461,Envelopes.com,27.93,Office
489,90098,Fly Racing,99.95,Auto
491,22678,Mightyskins,6.99,Cell
492,22964,MusicBoxAttic,215.99,Home
493,21210,Mightyskins,6.99,Cell
494,22321,Mightyskins,6.99,Cell
495,22751,Omega,21.99,Home
496,23184,Box Packaging,89.38,Office
497,22144,Mightyskins,6.99,Cell
498,21929,Mightyskins,5.99,Electronics
499,22944,HP,1099.0,Electronics
500,22179,Mightyskins,17.99,Electronics
501,22992,Aerosoles,31.99,Clothing
502,23202,Mightyskins,9.99,Home
503,90086,SA106,12.95,Health
504,72803A,Envelopes.com,79.1,Party
505,20984,Mightyskins,6.99,Cell
506,22659,DecoArt,12.23,Arts
508,22956,Unique Bargains,16.99,Industrial
509,48138,Style and Apply,19.95,Home
510,22703,SA106,12.95,Health
511,23254,Aerosoles,69.0,Clothing
512,21111,Envelopes.com,58.43,Party
513,21108,Ambiant,219.95,Home
514,21742,SnackWell's,26.34,Food
515,21523,Port Authority,11.18,Clothing
516,85071A,Eye Buy Express,23.18,Health
517,21917,Style & Apply,99.95,Home
518,23082,Envelopes.com,24.59,Office
519,35916A,Port Authority,17.58,Clothing
520,85078,Ash City - North End,31.68,Clothing
521,16161P,New Way,26.39,Household
522,22580,Mightyskins,19.99,Electronics
523,22064,Business Essentials,38.33,Office
524,21067,Mightyskins,9.99,Cell
525,22604,Seat Belt Extender Pros,13.89,Auto
526,22720,DJI,14.99,Electronics
527,84944,Vera Wang,234.0,Health
528,23275,Buckle-Down,29.99,Pets
529,22114,Mightyskins,9.99,Electronics
530,47574A,allwitty,14.99,Clothing
531,23196,Urbane,21.49,Clothing
532,22378,UNOTUX,51.99,Clothing
533,23323,Zebra Pen,25.77,Sports
534,21670,Port & Company,15.16,Clothing
536,20963,Mediven,62.38,Health
537,22727,Gillette,14.74,Personal
538,10133,Mightyskins,12.99,Electronics
539,22771,AARCO,665.2,Office
540,21718,Edwards,35.35,Clothing
541,22635,Fly Racing,109.95,Auto
542,22209,Eye Buy Express,19.99,Health
543,22699,Njjex,6.98,Cell
544,22588,Eye Buy Express,25.99,Health
545,23530,AARCO,441.87,Office
546,22411,Harriton,24.42,Clothing
547,22729,Physicians Formula,6.62,Beauty
548,21484,Style and Apply,59.95,Home
549,23427,Mightyskins,9.99,Electronics
550,85175,Duda Energy,32.95,Home
551,85099C,Medi,62.38,Health
552,22149,Unique Bargains,16.99,Home
553,23285,Mightyskins,12.99,Electronics
554,21563,Eye Buy Express,23.18,Health
555,22380,Eye Buy Express,19.99,Health
557,20914,Eye Buy Express,23.18,Health
558,84796B,Mightyskins,11.99,Electronics
559,84945,Extreme Networks,295.68,Electronics
560,20977,MusicBoxAttic,38.99,Office
561,22356,Createx,17.55,Beauty
562,22694,Eye Buy Express,26.99,Health
563,22134,allwitty,14.99,Clothing
565,20727,Mightyskins,19.99,Electronics
566,20724,Mighty Max Battery,39.99,Office
567,22737,Mightyskins,6.99,Cell
570,21158,Ekena Millwork,54.44,Home
571,21803,Style & Apply,29.95,Home
572,23215,Eye Buy Express,30.99,Health
573,21717,Mightyskins,34.99,Sports
574,22189,4Legs4Pets by Mahar,59.38,Pets
575,22030,Ambiant,599.95,Home
576,84946,Urbane,21.49,Clothing
577,21469,Eye Buy Express,42.99,Health
578,20619,MusicBoxAttic,215.99,Home
579,22755,Eye Buy Express,25.99,Health
580,85017B,MyNetDeals,13.97,Electronics
581,21983,CoverGirl,13.02,Beauty
582,51014C,Bally 49 5/8 x 77 1/2 Door Gasket,99.95,Auto
583,DOT,MusicBoxAttic,215.99,Home
584,21933,Urbane,21.49,Clothing
585,84971S,Stupell Industries,35.99,Home
586,21245,Eye Buy Express,25.99,Health
588,21615,Grandeur,400.0,Home
589,22614,Eye Buy Express,34.99,Health
590,21755,Mightyskins,14.99,Video
592,22597,Mightyskins,9.99,Electronics
593,22362,DazzlingRock,1268.4,Jewelry
594,22943,Nostalgic Warehouse,42.41,Home
596,21868,CHOSEN SUPPLIES,44.06,Office
597,22457,Ekena Milwork,58.2,Home
598,23016,Allied Brass,124.62,Home
599,22262,CHOSEN SUPPLIES,32.8,Household
600,90214N,Eye Buy Express,29.99,Health
601,21818,Mightyskins,29.99,Sports
602,72760B,Mightyskins,23.99,Electronics
603,21399,Business Essentials,37.81,Office
605,22844,Mightyskins,23.99,Electronics
606,22650,Ekena Millwork,118.8,Home
607,20832,Eddie Bauer,19.99,Clothing
608,21156,Edwards,34.11,Clothing
609,21239,Eye Buy Express,40.99,Health
610,84992,Heepo,6.88,Pets
611,23520,Eye Buy Express,27.99,Health
612,21744,LA Choppers,376.95,Auto
613,22940,Eye Buy Express,43.99,Health
614,22564,Mightyskins,14.99,Electronics
615,90112,Prop?t,76.95,Clothing
616,22858,Relief Pak,44.59,Health
617,22384,Ekena Millwork,208.28,Home
618,22199,Eye Buy Express,25.99,Health
619,85194S,Maevn,51.99,Clothing
620,22644,MIP,19.95,Cell
621,23376,Prop?t,57.66,Clothing
622,84380,Matrix,119.58,Beauty
623,22561,Mightyskins,23.99,Electronics
624,16016,MoYo Natural Labs,15.99,Clothing
625,21745,MusicBoxAttic,38.99,Office
626,48185,allwitty,14.99,Clothing
627,20751,Style and Apply,59.95,Home
628,22789,Eye Buy Express,41.99,Health
629,22914,Trevco,29.95,Clothing
630,22995,Darby Home Co,696.0,Office
631,22442,Mightyskins,23.99,Electronics
633,21535,Business Essentials,32.04,Office
634,22186,Omega,21.99,Home
635,37342,Mightyskins,23.99,Electronics
636,22211,allwitty,14.99,Clothing
637,22781,Marvel,25.99,Clothing
638,21506,SparkSettings,13.99,Party
639,21222,Medi,87.98,Health
640,23265,Business Essentials,67.73,Office
641,21242,Ekena Millwork,155.0,Home
642,21166,Eye Buy Express,18.99,Health
643,22601,Mightyskins,23.99,Electronics
644,90185B,Prop?t,76.95,Clothing
645,21770,Flexible Magnets,18.98,Office
646,22821,HP,71.0,Electronics
647,22115,Envelopes.com,33.95,Party
648,23334,Duda Energy,5.65,Home
649,22783,Mightyskins,19.99,Electronics
650,22807,MusicBoxAttic,240.99,Jewelry
651,22371,Mightyskins,34.99,Sports
652,23249,Eye Buy Express,32.99,Health
653,21700,Maevn,55.99,Clothing
654,79190D,Eye Buy Express,32.99,Health
655,85159B,Eye Buy Express,19.99,Health
656,23404,WorldJewels,578.73,Jewelry
657,82567,AJJ Cornhole,39.99,Sports
658,23032,Rubie's Costumes,9.94,Beauty
659,85071C,Mightyskins,6.99,Electronics
660,23508,Style and Apply,49.95,Home
661,21808,Rusticware,10.04,Home
662,22079,Style and Apply,49.95,Home
663,20775,MusicBoxAttic,38.99,Office
665,21793,SWE Inc,11.59,Beauty
666,23681,allwitty,15.99,Clothing
667,23307,DJI,14.99,Electronics
668,21884,DOT-01,14.69,Electronics
669,84029G,Ekena Milwork,136.0,Home
670,23247,UNOTUX,46.99,Clothing
671,85038,Tee Bangers,32.99,Clothing
672,22268,Envelopes.com,351.94,Party
673,85049C,Buckle-Down,29.99,Pets
674,22283,Mightyskins,5.99,Electronics
675,22349,MusicBoxAttic,38.99,Office
676,21832,OPI,8.99,Premium
677,22426,Mightyskins,23.99,Electronics
678,23207,Eye Buy Express,19.99,Health
680,84823,Eye Buy Express,27.99,Health
681,22933,Eye Buy Express,37.99,Health
682,21733,Packagingsuppliesbymail,834.95,Office
683,22744,Mightyskins,6.99,Cell
684,23499,Skinomi,18.99,Electronics
685,22693,Envelopes.com,113.94,Party
686,21390,Mightyskins,6.99,Electronics
687,22365,Ron's Optical,11.99,Health
688,23112,Shirtinvaders,52.0,Clothing
689,22907,Envelopes.com,55.95,Party
690,22469,Mightyskins,6.99,Cell
691,21878,Mightyskins,9.99,Electronics
692,21628,UNOTUX,41.99,Clothing
693,22851,Envelopes.com,123.69,Office
694,84077,Harriton,25.23,Clothing
695,22523,Port & Company,15.16,Clothing
696,22808,DipWell,8.97,Beauty
697,23133,Style & Apply,29.95,Home
698,20749,Prop?t,76.95,Clothing
699,85114A,Aviana,55.0,Clothing
700,23382,Ekena Milwork,216.94,Home
701,37447,Envelopes.com,13.82,Party
702,23360,Mightyskins,30.64,Electronics
703,22521,Ekena Millwork,96.95,Home
705,22591,Eye Buy Express,29.99,Health
706,22214,Deago,8.99,Pets
707,21710,MusicBoxAttic,300.99,Jewelry
708,23426,DJI,24.99,Electronics
709,21912,Mightyskins,6.99,Cell
710,22779,Eddie Bauer,30.0,Clothing
711,85071B,MusicBoxAttic,215.99,Home
712,22804,Edwards,34.11,Clothing
713,21481,Mightyskins,6.99,Cell
714,22242,Hohner,49.93,Musical
715,75049L,MusicBoxAttic,268.99,Jewelry
716,23400,Mightyskins,6.99,Cell
717,22919,Ice Breakers,10.99,Food
718,21218,UNOTUX,36.99,Clothing
719,16156L,Mightyskins,6.99,Cell
720,22583,Eye Buy Express,24.99,Health
721,22340,Eye Buy Express,23.99,Health
722,23554,Eye Buy Express,32.99,Health
723,22322,Unik Occasions,24.98,Food
724,23183,Puppia,22.99,Pets
725,22309,Eddie Bauer,30.0,Clothing
726,21066,Ply Gem,58.63,Home
727,21157,KBETHOS,9.99,Sports
728,21531,Style and Apply,49.95,Home
729,85032D,Eye Buy Express,19.99,Health
730,23439,Mightyskins,9.99,Electronics
731,22673,CHOSEN SUPPLIES,54.4,Household
